date,steel_prod,steel_demand,steel_inv,auto_prod,auto_domestic_ship,auto_export_ship,construction_order_amt,appliance_prod_idx,appliance_ship_idx,usdkrw_avg,leading_idx,gov_bond_3y_avg,iron_ore_price,steel_capacity_idx,steel_operating_rate
23-Aug,789,727,684,311907,107064,201070,10369696,101.3,104.8,"1,321.54",111,3.73,109.61,100.5,97.3
23-Sep,642,704,637,301509,107149,196659,14178389,100.3,103.6,"1,331.73",111.3,3.84,120.43,100.5,95.4
23-Oct,642,711,584,341161,117792,224979,15313893,95.9,93.3,"1,351.11",111.9,4.03,118.75,100.3,100.2
23-Nov,603,637,546,370386,132722,244814,11096593,102.7,98,"1,308.01",112.3,3.77,131.25,100.3,96.1
23-Dec,749,703,430,367599,114981,247219,18217171,100.4,96.1,"1,305.12",112.8,3.35,137.55,100.3,94.8
24-Jan,771,746,455,358011,103355,243243,14382068,106.9,91.2,"1,325.67",113.2,3.27,136.59,99.5,98.9
24-Feb,714,662,508,300499,99671,198733,15529487,106.6,101.8,"1,331.37",113.7,3.35,125.93,99.5,101.6
24-Mar,785,792,500,365521,120806,246892,14639238,96.8,96,"1,331.63",113.9,3.31,110.19,99.5,98.3
24-Apr,723,709,517,394363,119545,270711,17912602,106.4,96.7,"1,369.25",114.5,3.44,112.23,99.4,97.4
24-May,690,683,530,372636,117128,255591,15973135,116.6,96.4,"1,365.05",114.8,3.43,119.24,99.4,92.1
24-Jun,742,701,567,353788,112498,252341,19364030,106,94.3,"1,379.95",115.2,3.26,108.1,99.4,93.9
24-Jul,751,723,597,290612,110556,200112,16387224,103.8,93.2,"1,383.37",115.4,3.08,107.39,99.3,93.2
24-Aug,790,778,608,299649,106092,189893,14258379,104.6,92.2,"1,352.87",115.6,2.92,100.91,99,97.3
24-Sep,722,719,614,307251,105948,205674,17120356,97,83.7,"1,332.76",115.9,2.87,96.24,99,95.5
24-Oct,735,727,620,367584,124587,243483,15876341,101.9,84.6,"1,365.37",116.2,2.91,106.61,99,97.3
24-Nov,682,721,578,344423,124096,224672,18271585,93.4,91.1,"1,394.32",116.5,2.86,103.98,99,96.9
24-Dec,770,720,624,373143,119313,251701,15483411,109.8,92.1,"1,436.78",116.5,2.59,105.34,99,95.4
25-Jan,797,734,684,290705,90849,199796,14690516,95.1,99.1,"1,455.50",116.5,2.57,103.78,99.1,94
25-Feb,614,676,617,352045,112682,233082,14726030,98.7,101.4,"1,445.58",116.9,2.61,108.2,99.1,90
25-Mar,667,670,607,370486,124383,240821,17204492,94.3,99.1,"1,457.92",117.6,2.59,103.65,99.1,91.6
25-Apr,726,770,558,385676,129231,247193,15425522,91.5,89.9,"1,441.92",118.1,2.4,100.91,99.1,94.4
25-May,699,722,531,359212,113743,246469,17349218,86.7,88.6,"1,390.70",118.6,2.33,100.27,99.1,93.8
25-Jun,699,686,465,353540,118294,244430,17847329,85.2,85.2,"1,365.15",119.1,2.44,96.17,99.1,94.6
25-Jul,752,707,576,316630,111531,212091,24157048,97.3,84.4,"1,376.92",120.1,2.47,101.22,99.1,93.8
25-Aug,751,730,595,321030,111676,200253,22419136,87.1,83.7,"1,389.86",120.9,2.43,103.29,99.1,93.3
25-Sep,751,751,591,334359,125300,228361,12642359,86.7,85.3,"1,392.38",121.2,2.46,106.41,99.1,94.9
25-Oct,697,670,613,302720,103190,202904,12093912,75.7,75.2,"1,424.83",121.5,2.6,106.87,99.1,91.8
25-Nov,570,647,533,354266,117068,236649,19355942,81.7,81.2,"1,460.44",122.2,2.88,106.23,99,89
25-Dec,651,569,611,362814,116558,244878,17354093,80.4,73.1,"1,467.14",123.1,3.01,107.59,98.5,90.2
26-Jan,770,729,647,360500,103554,246574,17416723,78.3,77.6,"1,456.28",124.2,3.04,107.45,98.4,94
26-Feb,685,683,642,278250,96678,200597,19836565,67.9,71.9,"1,448.38",125.2,3.17,100.97,98.4,95.6
26-Mar,736,711,603,387231,128758,259635,22472395,74,76.8,"1,492.50",126.4,3.38,107.58,98.4,94.4
